0.01990493,-0.3575552,0.5351684,0.7650837,0.01990493,-0.3575552,0.5351684,0.7650837,0.01990493,-0.3575552,0.5351684,0.7650837,0.07411177,-0.08401707,0.006266229,0.9936848,0.07411177,-0.08401707,0.006266229,0.9936848,0.07411177,-0.08401707,0.006266229,0.9936848,0.07527789,-0.009242155,-0.07399494,0.9943705,0.07527789,-0.009242155,-0.07399494,0.9943705,0.07527789,-0.009242155,-0.07399494,0.9943705,0.06767923,0.06845527,-0.1048907,0.9898138,0.06767923,0.06845527,-0.1048907,0.9898138,0.06767923,0.06845527,-0.1048907,0.9898138
-0.2758172,-0.4952288,0.04991157,0.822303,-0.07959594,-0.4457754,0.1548813,0.8780437,0.1038929,-0.3789939,0.2435152,0.8867189,0.48703,-0.5745595,-0.1346543,0.6438568,-0.7782849,0.5620932,-0.2388204,-0.1459062,-0.7889749,0.4542798,-0.3898968,0.1383077,0.5656551,-0.612906,-0.1635704,0.5269016,-0.7759423,0.5509358,-0.3069175,-0.01360072,-0.7291569,0.4094365,-0.4869286,0.2521758,-0.6049373,0.5869758,0.2184651,-0.4917147,-0.7821283,0.5736837,-0.2413368,0.0303137,-0.71441,0.4457012,-0.4419271,0.3093044
-0.2749778,-0.4955522,0.04851045,0.8224732,-0.07733528,-0.4472019,0.1546769,0.8775561,0.1081759,-0.3807875,0.2446921,0.8851128,0.4878024,-0.5758487,-0.1339897,0.6422569,-0.777733,0.5627548,-0.2396664,-0.1449083,-0.7874861,0.4521292,-0.3932974,0.1440906,0.5671331,-0.614295,-0.1618541,0.5242185,-0.7751379,0.5511675,-0.308632,-0.01104382,-0.7274032,0.4088486,-0.4887267,0.2547033,-0.606474,0.5882316,0.2167161,-0.4890881,-0.781606,0.5740461,-0.242052,0.03120796,-0.7126563,0.4445488,-0.4440935,0.3118947
-0.2740802,-0.4963799,0.04534053,0.8224544,-0.07724705,-0.4499246,0.1516456,0.8767008,0.1081637,-0.3850636,0.242331,0.8839131,0.488927,-0.5773152,-0.1356016,0.6397419,-0.7767881,0.5648923,-0.2390147,-0.1427201,-0.7855296,0.4531965,-0.3944867,0.1481099,0.5682159,-0.6154492,-0.1631152,0.521293,-0.7739642,0.5530669,-0.3082612,-0.008460985,-0.7252783,0.410545,-0.4892294,0.2570577,-0.6076183,0.5889683,0.2178949,-0.4862491,-0.7806593,0.5755021,-0.2413642,0.03334075,-0.7105257,0.4455926,-0.4447092,0.3143791
-0.2665961,-0.4995366,0.035864,0.8234704,-0.08215032,-0.4610941,0.1374701,0.8727803,0.08838236,-0.4070731,0.2238374,0.8811225,0.4854727,-0.5763603,-0.1515586,0.6396524,-0.7739819,0.5725579,-0.2286349,-0.1444144,-0.7831618,0.4647157,-0.387489,0.1433497,0.5631466,-0.619178,-0.1770119,0.5178333,-0.7685944,0.5650001,-0.2997217,-0.01429827,-0.7213616,0.423648,-0.4873934,0.250215,-0.6023958,0.5900515,0.2324044,-0.4847132,-0.776455,0.5838779,-0.2349022,0.03201727,-0.7078694,0.4572194,-0.4413525,0.3083497
-0.2660301,-0.5006787,0.03031511,0.8231828,-0.09196261,-0.4691527,0.1276824,0.8689855,0.07271424,-0.4220262,0.2129535,0.8782126,0.4761884,-0.572956,-0.1663438,0.6459845,-0.772052,0.5769864,-0.221131,-0.1487398,-0.7826934,0.4723212,-0.3816796,0.1364715,0.5550782,-0.6212683,-0.1880986,0.5201278,-0.7643313,0.5743933,-0.292262,-0.02128654,-0.7197195,0.4344515,-0.4839231,0.2430518,-0.5945587,0.5905627,0.243565,-0.4882743,-0.773015,0.5909249,-0.2291234,0.02753721,-0.7073064,0.4670186,-0.4369934,0.3010782
-0.2673751,-0.5012988,0.02743445,0.8224704,-0.09897113,-0.4743145,0.1227598,0.8661181,0.06331022,-0.4315027,0.2080652,0.8755034,0.4686649,-0.5695286,-0.1763125,0.6518468,-0.7714111,0.5788352,-0.2169808,-0.1509766,-0.7827236,0.4756997,-0.3784522,0.1335196,0.5490251,-0.6216061,-0.1955014,0.5234086,-0.7618885,0.580132,-0.2869648,-0.02498044,-0.7191054,0.4416582,-0.4801412,0.2393532,-0.5888804,0.5900831,0.2506374,-0.4921409,-0.7710297,0.5951923,-0.2250188,0.02501856,-0.7074313,0.4735384,-0.4327264,0.2967327
-0.2656258,-0.5012357,0.03284188,0.8228774,-0.09523554,-0.4713678,0.1287587,0.8672737,0.06772853,-0.4258891,0.2137129,0.8765604,0.4717561,-0.5714589,-0.1706431,0.6494321,-0.7713659,0.5790267,-0.2196311,-0.1465774,-0.781614,0.4751017,-0.3796506,0.1386479,0.5569342,-0.616922,-0.1891276,0.5229363,-0.767445,0.570708,-0.291637,-0.01638406,-0.7219684,0.4328155,-0.4800735,0.2469047,-0.5968161,0.5870237,0.2435139,-0.4898111,-0.7753621,0.5876532,-0.2290471,0.03185451,-0.7089871,0.4653285,-0.4339423,0.3041395
-0.2649938,-0.5013258,0.03448056,0.8229592,-0.09260374,-0.469762,0.13122,0.8680608,0.07192205,-0.4224281,0.2165848,0.877196,0.4738713,-0.5723979,-0.1679073,0.6477761,-0.7715399,0.5787711,-0.2208187,-0.1448772,-0.7813428,0.4745284,-0.3802712,0.1404285,0.5599282,-0.6155331,-0.1867208,0.5222403,-0.7692157,0.5676042,-0.293164,-0.01369466,-0.7228413,0.4298477,-0.4802228,0.2492341,-0.5996127,0.5862108,0.2410488,-0.4885867,-0.7767627,0.5852256,-0.2302789,0.03350181,-0.709365,0.4623528,-0.4348819,0.3064457
-0.2587237,-0.5035238,0.03653561,0.8235236,-0.08352397,-0.4665702,0.1341149,0.8702582,0.08479021,-0.4131221,0.2206361,0.8794661,0.4800815,-0.5740802,-0.1650457,0.6424279,-0.7720581,0.5780368,-0.2206228,-0.1453456,-0.781625,0.473441,-0.3812222,0.1399494,0.5682296,-0.6123083,-0.1837601,0.5180983,-0.773064,0.561441,-0.2951207,-0.007745719,-0.7238734,0.4236203,-0.4812785,0.2548023,-0.6062801,0.5839173,0.2389744,-0.4841037,-0.7796518,0.5802073,-0.232508,0.03797907,-0.7088793,0.4557518,-0.4384426,0.3123278
-0.2604298,-0.5026546,0.04054302,0.8233292,-0.08113743,-0.4636411,0.1400159,0.8711196,0.09106916,-0.4074929,0.2278098,0.8796356,0.4800878,-0.5747132,-0.1601566,0.6430942,-0.7725731,0.5759304,-0.2242654,-0.1453965,-0.7824113,0.4706406,-0.3832275,0.1395227,0.569345,-0.6114703,-0.1789833,0.5195339,-0.774599,0.5575129,-0.2985581,-0.006237374,-0.7252944,0.4194842,-0.4821416,0.2559698,-0.6077684,0.5840437,0.2337341,-0.4846431,-0.7807966,0.577615,-0.2350532,0.03830854,-0.7096203,0.4519814,-0.4398713,0.3141102
-0.259936,-0.5029107,0.04260645,0.8232246,-0.07895026,-0.4623543,0.1428657,0.8715416,0.09454171,-0.40452,0.2310187,0.8798044,0.4810719,-0.5747047,-0.1578829,0.6429287,-0.7733214,0.5742978,-0.2258183,-0.1454722,-0.7832468,0.4689627,-0.3838898,0.1386621,0.5709039,-0.6105306,-0.1767638,0.519688,-0.7758053,0.5553091,-0.2995479,-0.005392553,-0.7262354,0.4172999,-0.4821474,0.2568596,-0.6093693,0.5835224,0.2313637,-0.4843981,-0.7818158,0.575949,-0.2357032,0.03861113,-0.7102299,0.4499039,-0.440187,0.3152704
-0.258307,-0.5017012,0.0458984,0.8242978,-0.07668765,-0.4598443,0.1460095,0.87255,0.09892453,-0.4001433,0.2346211,0.8803706,0.4760732,-0.5757629,-0.159249,0.6453613,-0.7710359,0.5758754,-0.2257052,-0.1514212,-0.7831451,0.4711076,-0.3841318,0.1310886,0.5686543,-0.6113342,-0.1761061,0.5214302,-0.7752517,0.5558133,-0.2999804,-0.008252074,-0.7273229,0.4185466,-0.4816309,0.2526892,-0.6073145,0.5850655,0.2304555,-0.4855489,-0.780926,0.5770757,-0.2363008,0.03605612,-0.710797,0.4511643,-0.4402919,0.3120282
-0.2597876,-0.4999695,0.04961318,0.8246694,-0.07745088,-0.4566658,0.1494582,0.8735673,0.09915514,-0.3954599,0.2377332,0.8816251,0.4742855,-0.5749165,-0.1570035,0.647977,-0.7716651,0.5737265,-0.2274805,-0.1536999,-0.7846088,0.4687694,-0.3848217,0.1286726,0.567783,-0.6106214,-0.173491,0.5240848,-0.7763087,0.5533516,-0.301745,-0.009844108,-0.7290413,0.4158695,-0.4820803,0.2512963,-0.6064162,0.584976,0.2279601,-0.4879516,-0.7816968,0.5752735,-0.2383561,0.03459721,-0.7122117,0.4488896,-0.4411873,0.3108159
-0.2618304,-0.4979796,0.05533322,0.8248633,-0.07616388,-0.451798,0.1561298,0.8750436,0.1021874,-0.3879333,0.2440574,0.8828938,0.4771087,-0.5746293,-0.1478959,0.6483018,-0.7747918,0.5677396,-0.2349714,-0.1488548,-0.7864153,0.4611117,-0.3887551,0.1334036,0.56758,-0.6100792,-0.1676879,0.5268178,-0.7777823,0.5492269,-0.3054155,-0.01121424,-0.7311034,0.4109612,-0.4836241,0.2504126,-0.6058913,0.5850962,0.2227547,-0.4908549,-0.782896,0.5724037,-0.241557,0.03283659,-0.7142109,0.4451603,-0.442455,0.3097884
-0.2644724,-0.4964805,0.05795881,0.8247439,-0.07486735,-0.4479322,0.1601617,0.876413,0.1048379,-0.3821614,0.2477881,0.8840604,0.4830868,-0.5734633,-0.1393798,0.6467924,-0.7786754,0.5616471,-0.2399404,-0.1436866,-0.7887617,0.4543447,-0.3903273,0.1380959,0.5686507,-0.6088796,-0.163821,0.5282657,-0.7793438,0.5466769,-0.305965,-0.01237382,-0.732886,0.4079987,-0.4832941,0.2506834,-0.6069103,0.5840487,0.2191841,-0.4924484,-0.7845007,0.570261,-0.2416055,0.0314323,-0.7162374,0.4429397,-0.4414503,0.3097259
