-0.6432322,0.04797415,-0.7620503,0.05683582,-0.6432322,0.04797415,-0.7620503,0.05683582,-0.6432322,0.04797415,-0.7620503,0.05683582,-0.6432322,0.04797415,-0.7620503,0.05683582,-0.696591,0.1055519,-0.7096614,0.0009071566,-0.696591,0.1055519,-0.7096614,0.0009071566,-0.696591,0.1055519,-0.7096614,0.0009071566,-0.696591,0.1055519,-0.7096614,0.0009071566,-0.7483093,0.1220255,-0.651499,-0.02631252,-0.7483093,0.1220255,-0.651499,-0.02631252,-0.7483093,0.1220255,-0.651499,-0.02631252,-0.7483093,0.1220255,-0.651499,-0.02631252,-0.7865723,0.1459503,-0.590791,-0.1047321,-0.7865723,0.1459503,-0.590791,-0.1047321,-0.7865723,0.1459503,-0.590791,-0.1047321,-0.7865723,0.1459503,-0.590791,-0.1047321
-0.3502856,0.1484289,-0.8182788,0.4309162,0.2348294,-0.3018999,0.241209,-0.891925,0.1342394,-0.3493257,-0.04478084,-0.9262542,0.1342394,-0.3493257,-0.04478084,-0.9262542,-0.2778712,0.2677117,-0.7965907,0.4653617,0.0627235,-0.3541327,0.2221195,-0.9062665,-0.05130143,-0.3290427,-0.09112782,-0.9385068,-0.05130143,-0.3290427,-0.09112782,-0.9385068,-0.2155034,0.3373258,-0.7943128,0.4569867,-0.1075922,-0.4050498,0.2504959,-0.872703,-0.2450328,-0.3401022,-0.07731427,-0.9046061,-0.2450328,-0.3401022,-0.07731427,-0.9046061,-0.1760061,0.4201474,-0.788747,0.4127671,-0.1953661,-0.4416631,0.2912736,-0.8257881,-0.3276367,-0.3413997,0.002251178,-0.8809631,-0.3276367,-0.3413997,0.002251178,-0.8809631
-0.3514439,0.1519404,-0.8156515,0.4337212,0.2384889,-0.301704,0.2365385,-0.892271,0.139023,-0.3442665,-0.05177042,-0.9270778,0.139023,-0.3442665,-0.05177042,-0.9270778,-0.2768322,0.2748978,-0.7854075,0.480552,0.05858088,-0.3548511,0.1979936,-0.9118376,-0.05580817,-0.3260366,-0.1160997,-0.9365398,-0.05580817,-0.3260366,-0.1160997,-0.9365398,-0.2175755,0.3449178,-0.7826428,0.4702796,-0.1080776,-0.4069223,0.2210605,-0.8796965,-0.2434099,-0.3397116,-0.1018931,-0.9027545,-0.2434099,-0.3397116,-0.1018931,-0.9027545,-0.1815267,0.4286941,-0.7759132,0.4257092,-0.1853736,-0.4442871,0.2664766,-0.8350067,-0.3199942,-0.342091,-0.0277766,-0.8830665,-0.3199942,-0.342091,-0.0277766,-0.8830665
-0.3533668,0.1509426,-0.8150465,0.4336448,0.2412818,-0.3019412,0.236847,-0.8913578,0.141698,-0.3443476,-0.05205261,-0.9266269,0.141698,-0.3443476,-0.05205261,-0.9266269,-0.2778232,0.2740307,-0.7851499,0.4808964,0.05939312,-0.3552554,0.1978213,-0.9116651,-0.05546824,-0.3269477,-0.1167962,-0.9361559,-0.05546824,-0.3269477,-0.1167962,-0.9361559,-0.2182633,0.3441607,-0.7823822,0.4709487,-0.1074847,-0.4071784,0.2206236,-0.8797603,-0.2430289,-0.3408953,-0.1021807,-0.9023786,-0.2430289,-0.3408953,-0.1021807,-0.9023786,-0.1838199,0.4278781,-0.7758938,0.4255818,-0.1819472,-0.4446656,0.26639,-0.8355864,-0.3167561,-0.3431156,-0.02803126,-0.8838282,-0.3167561,-0.3431156,-0.02803126,-0.8838282
-0.355192,0.1506013,-0.8112668,0.4393227,0.2450909,-0.300655,0.2286838,-0.8928838,0.1467344,-0.341778,-0.05941895,-0.9263513,0.1467344,-0.341778,-0.05941895,-0.9263513,-0.2776711,0.273416,-0.7825678,0.4855208,0.0591947,-0.3545982,0.1928314,-0.913002,-0.05559533,-0.3260391,-0.1220595,-0.9357937,-0.05559533,-0.3260391,-0.1220595,-0.9357937,-0.2182748,0.3436411,-0.7800968,0.4750961,-0.1076707,-0.4071773,0.2159393,-0.8808996,-0.2431231,-0.3412277,-0.1065724,-0.9017193,-0.2431231,-0.3412277,-0.1065724,-0.9017193,-0.1861579,0.4275969,-0.7734727,0.4292394,-0.1779864,-0.4450214,0.2615945,-0.8377624,-0.3127366,-0.3430136,-0.03309645,-0.8851229,-0.3127366,-0.3430136,-0.03309645,-0.8851229
-0.3546394,0.1516494,-0.8094031,0.4428321,0.2451161,-0.2996418,0.2226731,-0.8947345,0.1474634,-0.3391908,-0.06572662,-0.9267601,0.1474634,-0.3391908,-0.06572662,-0.9267601,-0.2764841,0.2739093,-0.7816604,0.4873783,0.05750021,-0.3541062,0.1904395,-0.9138029,-0.05761924,-0.3252183,-0.1256921,-0.9354758,-0.05761924,-0.3252183,-0.1256921,-0.9354758,-0.2172492,0.344052,-0.7793729,0.4764546,-0.1091268,-0.4069375,0.2142484,-0.8812441,-0.24456,-0.3408116,-0.1084864,-0.9012597,-0.24456,-0.3408116,-0.1084864,-0.9012597,-0.1857325,0.4280639,-0.7726139,0.430503,-0.1785517,-0.4449719,0.2598742,-0.8382036,-0.313366,-0.3426704,-0.03506401,-0.8849577,-0.313366,-0.3426704,-0.03506401,-0.8849577
-0.3510197,0.1510929,-0.8078096,0.4487762,0.2418787,-0.2962808,0.2146346,-0.8986906,0.1453514,-0.3338597,-0.0751166,-0.928315,0.1453514,-0.3338597,-0.0751166,-0.928315,-0.2727912,0.2729117,-0.7806667,0.4915933,0.05316715,-0.3514882,0.1855259,-0.9160839,-0.06167369,-0.3220969,-0.132219,-0.9353974,-0.06167369,-0.3220969,-0.132219,-0.9353974,-0.2141137,0.3429193,-0.7787756,0.4796565,-0.1127547,-0.4046643,0.2100502,-0.8828434,-0.2475841,-0.3379387,-0.1137151,-0.9008712,-0.2475841,-0.3379387,-0.1137151,-0.9008712,-0.1830947,0.4273747,-0.7713152,0.4346267,-0.182063,-0.4433656,0.2552764,-0.8397108,-0.3164157,-0.3405159,-0.0400082,-0.8844941,-0.3164157,-0.3405159,-0.0400082,-0.8844941
-0.3479246,0.1541391,-0.8065819,0.4523448,0.237245,-0.295758,0.2093757,-0.9013347,0.1407282,-0.3301091,-0.08318256,-0.92968,0.1407282,-0.3301091,-0.08318256,-0.92968,-0.2693112,0.2753074,-0.7797672,0.4935999,0.04821248,-0.3507515,0.1826509,-0.9172175,-0.06680533,-0.3197514,-0.1367359,-0.9352006,-0.06680533,-0.3197514,-0.1367359,-0.9352006,-0.2106724,0.3449242,-0.7783629,0.4804125,-0.1175329,-0.4038044,0.20818,-0.883057,-0.2521188,-0.3355286,-0.1163545,-0.9001774,-0.2521188,-0.3355286,-0.1163545,-0.9001774,-0.1796857,0.4296652,-0.7699375,0.4362309,-0.1871872,-0.4431636,0.2530581,-0.8393624,-0.3214332,-0.338984,-0.04219176,-0.883171,-0.3214332,-0.338984,-0.04219176,-0.883171
-0.344292,0.1576903,-0.8055975,0.455642,0.232507,-0.2948659,0.2045149,-0.9039738,0.1361305,-0.3259881,-0.09076244,-0.9311082,0.1361305,-0.3259881,-0.09076244,-0.9311082,-0.2657092,0.2782055,-0.7788851,0.4953161,0.04338682,-0.3500504,0.1803288,-0.9181852,-0.07221183,-0.3174866,-0.1417228,-0.9348276,-0.07221183,-0.3174866,-0.1417228,-0.9348276,-0.2060434,0.3475499,-0.7777376,0.4815389,-0.1243087,-0.40317,0.2066162,-0.8827861,-0.2585147,-0.3335975,-0.1179349,-0.8988739,-0.2585147,-0.3335975,-0.1179349,-0.8988739,-0.1759305,0.4324429,-0.7684671,0.4376073,-0.1925987,-0.4429529,0.2509666,-0.838877,-0.326438,-0.3374359,-0.04359588,-0.8818587,-0.326438,-0.3374359,-0.04359588,-0.8818587
-0.3416861,0.1627562,-0.8052884,0.4563681,0.2329334,-0.2926801,0.2001375,-0.9055526,0.137024,-0.3218202,-0.09752847,-0.9317429,0.137024,-0.3218202,-0.09752847,-0.9317429,-0.2603584,0.2827627,-0.7786113,0.4960073,0.03607447,-0.3486327,0.1763146,-0.919819,-0.07993722,-0.3155491,-0.1479404,-0.9338911,-0.07993722,-0.3155491,-0.1479404,-0.9338911,-0.1952177,0.3528788,-0.7753757,0.485962,-0.1408156,-0.4024065,0.2026119,-0.8815829,-0.2756891,-0.3323925,-0.1239501,-0.8933908,-0.2756891,-0.3323925,-0.1239501,-0.8933908,-0.1671218,0.4374509,-0.7656949,0.4409292,-0.2058242,-0.4417813,0.2457142,-0.8379084,-0.3390563,-0.3348393,-0.04783425,-0.8778586,-0.3390563,-0.3348393,-0.04783425,-0.8778586
